2022-05-18 07:05:397 INFO  BuildYourOwnComputerPage :106 - Select Software '[[ChromeDriver: chrome on WINDOWS (788c4575201bf329a2f7d5a97082376b)] -> xpath: //dd[@id='product_attribute_input_5']//li/label]'<br>
2022-05-18 07:05:462 INFO  BuildYourOwnComputerPage :114 - Click on 'ADD TO CART' Button<br>
2022-05-18 07:05:325 INFO  BuildYourOwnComputerPage :119 - Get productAdded Message : The product has been added to your shopping cart<br>
2022-05-18 07:05:72 WARN  HashedWheelTimer :672 - An exception was thrown by TimerTask.
java.lang.IllegalStateException: cannot be started once stopped
	at io.netty.util.HashedWheelTimer.start(HashedWheelTimer.java:338)
	at io.netty.util.HashedWheelTimer.newTimeout(HashedWheelTimer.java:413)
	at org.asynchttpclient.netty.channel.DefaultChannelPool.scheduleNewIdleChannelDetector(DefaultChannelPool.java:95)
	at org.asynchttpclient.netty.channel.DefaultChannelPool.access$900(DefaultChannelPool.java:43)
	at org.asynchttpclient.netty.channel.DefaultChannelPool$IdleChannelDetector.run(DefaultChannelPool.java:378)
	at io.netty.util.HashedWheelTimer$HashedWheelTimeout.expire(HashedWheelTimer.java:669)
	at io.netty.util.HashedWheelTimer$HashedWheelBucket.expireTimeouts(HashedWheelTimer.java:744)
	at io.netty.util.HashedWheelTimer$Worker.run(HashedWheelTimer.java:469)
	at io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30)
	at java.lang.Thread.run(Thread.java:745)
